country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Armenia,AM,ARM,51,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Armenia,AM,ARM,51,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Armenia,AM,ARM,51,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Armenia,AM,ARM,51,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2022,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Armenia,AM,ARM,51,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2023,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,25.30,Female,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,16.40,Female,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,16.70,Female,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,29.50,Female,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,33.80,Female,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,34.30,Female,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,23.80,Female,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,25.90,Female,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,30.00,Female,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,29.90,Female,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,60.00,Female,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,60.00,Female,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,13.90,Male,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,18.10,Male,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,18.20,Male,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,20.10,Male,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,22.10,Male,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,31.60,Male,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,35.50,Male,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,65.70,Male,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,72.30,Male,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,50.00,Male,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,42.90,Male,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,64.90,Male,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,25.30,Total,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,18.70,Total,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,20.50,Total,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,22.60,Total,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,31.00,Total,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,34.50,Total,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,25.90,Total,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,40.00,Total,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,40.00,Total,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,40.00,Total,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,66.70,Total,,%,,,,10 to 19 years old
Austria,AT,AUT,40,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,55.60,Total,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,0.80,Female,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,1.40,Female,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,2.60,Female,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,4.90,Female,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,8.30,Female,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,12.70,Female,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,17.90,Female,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,21.40,Female,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,27.00,Female,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,29.50,Female,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,32.10,Female,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,33.70,Female,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,1.50,Male,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,2.70,Male,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,4.50,Male,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,8.50,Male,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,11.80,Male,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,16.10,Male,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,20.60,Male,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,26.10,Male,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,31.10,Male,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,35.40,Male,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,39.30,Male,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,42.00,Male,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,1.00,Total,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,1.50,Total,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,3.80,Total,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,6.50,Total,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,9.90,Total,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,14.30,Total,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,18.60,Total,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,23.70,Total,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,29.10,Total,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,32.50,Total,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,36.40,Total,,%,,,,10 to 19 years old
Azerbaijan,AZ,AZE,31,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,39.20,Total,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,61.50,Female,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,60.50,Female,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,60.00,Female,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,59.70,Female,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,60.00,Female,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,58.60,Female,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,56.60,Female,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,58.30,Female,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,60.50,Female,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,52.50,Female,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,48.60,Female,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,63.60,Male,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,63.10,Male,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,62.30,Male,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,61.40,Male,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,61.90,Male,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,59.60,Male,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,57.70,Male,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,59.60,Male,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,60.50,Male,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,59.00,Male,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,48.60,Male,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,62.20,Total,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,61.80,Total,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,61.10,Total,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,59.90,Total,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,61.40,Total,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,60.00,Total,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,57.70,Total,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,58.90,Total,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,60.50,Total,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,55.70,Total,,%,,,,10 to 19 years old
Bahamas,BS,BHS,44,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,48.00,Total,,%,,,,10 to 19 years old
Bangladesh,BD,BGD,50,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,13,Total,Units,%,Estimated value,Free,,Under 15 years old
Bangladesh,BD,BGD,50,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,20,Total,Units,%,Estimated value,Free,,Under 15 years old
Bangladesh,BD,BGD,50,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,22,Total,Units,%,Estimated value,Free,,Under 15 years old
Bangladesh,BD,BGD,50,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,26,Total,Units,%,Estimated value,Free,,Under 15 years old
Bangladesh,BD,BGD,50,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,31,Total,Units,%,Estimated value,Free,,Under 15 years old
Bangladesh,BD,BGD,50,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,33,Total,Units,%,Estimated value,Free,,Under 15 years old
Bangladesh,BD,BGD,50,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,38,Total,Units,%,Estimated value,Free,,Under 15 years old
Bangladesh,BD,BGD,50,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,37,Total,Units,%,Estimated value,Free,,Under 15 years old
Bangladesh,BD,BGD,50,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,39,Total,Units,%,Estimated value,Free,,Under 15 years old
Bangladesh,BD,BGD,50,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,54,Total,Units,%,Estimated value,Free,,Under 15 years old
